FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
150000,ANKARA,ETIMESGUT,YAPRACIK,86604-5074,I_K,130,UYGUN,HISSELI TAPU,HAYIR,EVET,ETIMESGUT,,,,
149000,ANKARA,CANKAYA,TOHUMLAR,28568-11062,BAHCE,2490,,HISSELI TAPU,EVET,HAYIR,CANKAYA,,,809,
550000,KONYA,MERAM,HARMANCIK,69350-642,TARLA,5500,BILINMIYOR,HISSELI TAPU,HAYIR,HAYIR,MERAM,100,,,
600000,MUGLA,ULA,KIZILAGAC,117494-17,TARLA,6600,UYGUN DEGIL,MUSTAKIL PARSEL,EVET,HAYIR,ULA,,,,
1800000,IZMIR,URLA,GUVENDIK,17023-1137,I_K,2500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,URLA,,,,
3500000,ISTANBUL,SILE,MESRUTIYET,3995-23546,I_K,4750,,MUSTAKIL PARSEL,,HAYIR,SILE,,,,
10000000,ISTANBUL,SILIVRI,ALIBEY,21171-8919,I_K,10000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
1650000,IZMIR,BERGAMA,ISLAMSARAY,31745-14418,TARLA,40529,UYGUN,,,HAYIR,BERGAMA,40,507,27,
170000,CANAKKALE,GELIBOLU,ADILHAN,118414-67,I_K,566,,,HAYIR,HAYIR,,300,238,2,
550000,ANTALYA,MURATPASA,ERMENEK,18143-4442,I_K,360,,,,HAYIR,MURATPASA,,,,
525000,BURSA,NILUFER,YAYLACIK,115394-67,TARLA,2486,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
750000,NIGDE,MERKEZ,KUMLUCA,94194-67,I_K,568,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
795000,ANKARA,SINCAN,29 EKIM,54352-724,I_K,735,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,SINCAN,,1111,1,
800000,HATAY,ANTAKYA,KUCUKDALYAN,57683-615,I_K,441,,,,HAYIR,,,,,
725000,KOCAELI,KARAMURSEL,PAZARKOY,77615-161,TARLA,7600,,MUSTAKIL PARSEL,,HAYIR,,,,,
3900000,AYDIN,KUSADASI,DEGIRMENDERE,78233-2421,I_K,2000,UYGUN,MUSTAKIL PARSEL,EVET,EVET,,,,,
255000,HATAY,ANTAKYA,DOGANKOY,119416-14,I_K,470,,,,HAYIR,,,,,
105000,KOCAELI,KANDIRA,SARICAALI,0-35841970,M_A,466,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,,,129,3,215.0
10000000,EDIRNE,MERKEZ,BARUTLUK,114218-206,I_K,8988,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,,1113,2340,1,
95000,ESKISEHIR,SARICAKAYA,SARIKAYA,68721-2723,TARLA,1793,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SARICAKAYA,,408,2,
7000,EDIRNE,UZUNKOPRU,MURADIYE,77619-395,TARLA,280,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
