,FIYAT,METREKARE,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL,ARSA_TIPI_BAG,ARSA_TIPI_BAHCE,ARSA_TIPI_CIFTLIK,ARSA_TIPI_D_A_I,ARSA_TIPI_HASTANE,ARSA_TIPI_I_K,ARSA_TIPI_I_S,ARSA_TIPI_I_T,ARSA_TIPI_K_T,ARSA_TIPI_M_A,ARSA_TIPI_OKUL,ARSA_TIPI_OZEL_K,ARSA_TIPI_S_A,ARSA_TIPI_TARLA,ARSA_TIPI_T_A,ARSA_TIPI_T_K,ARSA_TIPI_ZEYTINLIK
38,11.429543856031177,8.648221453822641,9.411179884356788,6.315759769305963,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12.691580461311874,5.5134287461649825,6.247946158032702,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,12.524526376648708,7.160069207596127,6.247946158032702,4.49609909093373,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,13.122363377404328,6.476972362889683,6.203935968673326,4.969813299576001,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,12.948009990259552,4.430816798843313,3.8501476017100584,6.274762021241939,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,12.611537753638338,8.699514748210191,9.16218152848191,0.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,13.698976741708323,8.224163512637862,6.247946158032702,4.49609909093373,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14.557447902693651,6.907755278982137,8.911474227849284,2.3978952727983707,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,13.122363377404328,6.617402977974478,6.486922693742851,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12.594730635321957,6.625392368007956,12.691580461311874,2.995732273553991,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,12.180754837545884,7.044032897274685,7.24422751560335,3.8501476017100584,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,14.73180128983843,8.92665032079394,12.712890247898626,4.406719247264253,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,12.80765263256463,9.541297427909285,3.258096538021482,4.49609909093373,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,10.915088464214607,8.626585568187433,6.247946158032702,4.49609909093373,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52,13.217673557208654,6.214608098422191,6.802394763324311,5.696923992106789,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,13.286181462633724,5.991464547107982,6.247946158032702,1.9459101490553132,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,12.542544882151386,8.14902386805177,5.991464547107982,3.6635616461296463,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,13.458835614025542,6.907755278982137,8.911474227849284,1.6094379124341003,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,14.403297222866392,8.465899897028686,10.761584040165557,2.4849066497880004,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,13.592367006650065,8.935903526274423,4.77912349311153,3.1135153092103742,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,11.512925464970229,5.572154032177765,6.247946158032702,4.49609909093373,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,14.187074114396758,6.621405651764134,7.349230824613334,4.49609909093373,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,13.997832114758229,8.297294370266917,6.247946158032702,4.49609909093373,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,14.346138809026444,8.160518247477505,6.184148890937483,5.690955461096447,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,14.557447902693651,8.509161019718974,4.605170185988092,4.49609909093373,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,14.066269276311457,8.006367567650246,6.379463185865658,5.8984913779554535,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
