,FIYAT,IL,ILCE,MAHALLE,ARSA_TIPI,METREKARE,TAPU_DURUMU,METREKARE_BIRIM_FIYAT,PARSEL,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
93,700000,ADIYAMAN,MERKEZ,YUNUS EMRE,I_K,1000,MUSTAKIL PARSEL,7416.586781609196,5.0,0,0,1,0,1,0,1,0
94,1800000,MERSIN(ICEL),SILIFKE,ATAKENT,TARLA,4750,MUSTAKIL PARSEL,47173.333333333336,12.0,0,0,1,0,1,0,1,0
95,800000,IZMIR,MENEMEN,YAYLA,TARLA,7600,MUSTAKIL PARSEL,119.0,22.5,0,0,1,0,1,0,1,0
96,100000,KOCAELI,GOLCUK,ULASLI YAVUZ SULTAN SELIM,BAHCE,263,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
97,1450000,MUGLA,ORTACA,DALYAN,I_K,751,MUSTAKIL PARSEL,1555.0,89.66666666666667,0,0,1,0,1,0,1,0
98,1200000,BALIKESIR,AYVALIK,KUCUKKOY,BAG,4013,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
101,1700000,MERSIN(ICEL),SILIFKE,BURUNUCU,TARLA,3500,MUSTAKIL PARSEL,485.0,296.1764705882353,1,0,0,0,1,0,1,0
103,1285000,ANKARA,GOLBASI,KIZILCASAR,I_K,3000,MUSTAKIL PARSEL,589.6111111111111,364.4871794871795,0,0,1,0,1,0,1,0
106,249999,BALIKESIR,AYVALIK,KUCUKKOY,I_K,353,MUSTAKIL PARSEL,630.0,12.0,0,1,0,0,1,1,0,0
107,579000,IZMIR,BUCA,KIRIKLAR,BAHCE,7740,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,1,0,0
108,365000,ANTALYA,KUMLUCA,ERENTEPE,TARLA,2500,MUSTAKIL PARSEL,23037.81818181818,413.75,1,0,0,0,1,1,0,0
109,1695000,IZMIR,URLA,GUVENDIK,I_K,2500,MUSTAKIL PARSEL,23037.81818181818,413.75,0,0,1,0,1,1,0,0
110,335000,BALIKESIR,BURHANIYE,PELITKOY,BAHCE,3200,MUSTAKIL PARSEL,100.0,152.33333333333334,0,0,1,0,1,0,1,0
111,130000,BURSA,MUDANYA,YORUKYENICESI,TARLA,2070,MUSTAKIL PARSEL,62.0,26.0,0,0,1,0,1,0,1,0
116,130000,BILECIK,OSMANELI,ERICEK,BAHCE,1835,MUSTAKIL PARSEL,516.95,226.0,0,1,0,0,1,1,0,0
117,255000,MANISA,AKHISAR,SEYIT AHMET,BAHCE,1880,MUSTAKIL PARSEL,115.0,98.0,0,1,0,1,0,0,1,0
118,250000,ANTALYA,KUMLUCA,ERENTEPE,TARLA,5000,MUSTAKIL PARSEL,11111.59142857143,544.2083333333334,1,0,0,0,1,1,0,0
121,700000,KOCAELI,IZMIT,YENIDOGAN,I_K,300,MUSTAKIL PARSEL,2333.0,6.0,0,0,1,0,1,0,1,0
123,780000,ANTALYA,KEPEZ,SELALE,K_T,630,MUSTAKIL PARSEL,376.6666666666667,14.333333333333334,0,0,1,0,1,0,1,0
125,1100000,ISTANBUL,CATALCA,ORCUNLU,TARLA,5100,HISSELI TAPU,39.0,12.222222222222221,0,0,1,0,1,1,0,0
126,62500,CANAKKALE,GELIBOLU,BAYRAMIC,TARLA,2500,MUSTAKIL PARSEL,25.0,530.0,0,0,1,0,1,1,0,0
128,600000,CANAKKALE,AYVACIK,GULPINAR,BAHCE,2240,BILINMIYOR,45.0,89.66666666666667,0,0,1,0,1,1,0,0
130,412000,BALIKESIR,BURHANIYE,PELITKOY,ZEYTINLIK,3500,MUSTAKIL PARSEL,120.0,296.1764705882353,0,0,1,0,1,0,1,0
131,1050000,ANTALYA,ALANYA,TEPE,I_K,1092,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
132,1212000,ELAZIG,MERKEZ,YAZIKONAK (SANAYI),K_T,3030,HISSELI TAPU,400.0,67.0,0,0,1,0,1,0,1,0
133,1695000,IZMIR,URLA,GUVENDIK,I_K,2500,MUSTAKIL PARSEL,23037.81818181818,413.75,0,0,1,0,1,0,1,0
135,33000,ANKARA,PURSAKLAR,ALTINOVA,TARLA,500,HISSELI TAPU,3848.1353333333336,297.949494949495,0,0,1,0,1,0,1,0
136,450000,NIGDE,MERKEZ,FERTEK,I_K,942,MUSTAKIL PARSEL,196.0,3.0,0,0,1,0,1,0,1,0
140,75000,ANKARA,GOLBASI,YAVRUCUK,BAHCE,500,HISSELI TAPU,3848.1353333333336,297.949494949495,1,0,0,1,0,0,1,0
141,1500000,IZMIR,URLA,ISKELE,I_K,5579,MUSTAKIL PARSEL,516.95,89.66666666666667,0,1,0,0,1,1,0,0
142,365000,KOCAELI,KANDIRA,BEYCE,TARLA,7312,MUSTAKIL PARSEL,516.95,3.0,0,1,0,0,1,1,0,0
143,79000,CANAKKALE,GELIBOLU,ADILHAN,I_K,250,MUSTAKIL PARSEL,7351.9047619047615,623.4848484848485,0,1,0,0,1,0,1,0
144,1100000,ADIYAMAN,MERKEZ,GUZELYURT,BAG,8400,MUSTAKIL PARSEL,378.5,161.0,0,1,0,0,1,0,0,1
148,1150000,MUGLA,ORTACA,DALYAN,I_K,725,MUSTAKIL PARSEL,121.0,89.66666666666667,0,0,1,0,1,0,1,0
150,1350000,MUGLA,BODRUM,TURGUTREIS,I_K,6375,MUSTAKIL PARSEL,43.0,89.66666666666667,1,0,0,0,1,1,0,0
151,195000,KONYA,SELCUKLU,KILINCARSLAN,BAHCE,1700,MUSTAKIL PARSEL,309.0833333333333,1.0,1,0,0,0,1,0,0,1
152,150000,TEKIRDAG,MARMARAEREGLISI,DEREAGZI,I_K,220,MUSTAKIL PARSEL,1200.6666666666667,36.375,0,1,0,0,1,0,1,0
153,550000,MUGLA,MENTESE,KAFACA,I_T,2548,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
154,92000,TEKIRDAG,HAYRABOLU,CERKEZMUSELLIM,I_K,670,MUSTAKIL PARSEL,853.3333333333334,510.7142857142857,1,0,0,0,1,1,0,0
155,850000,MERSIN(ICEL),TOROSLAR,KAYRAKKESLI,BAHCE,13300,MUSTAKIL PARSEL,65.0,35.0,0,1,0,0,1,0,1,0
157,620000,TEKIRDAG,ERGENE,MARMARACIK,I_K,718,MUSTAKIL PARSEL,950.0,6.0,1,0,0,0,1,0,1,0
158,57000,ANKARA,PURSAKLAR,ALTINOVA,TARLA,750,HISSELI TAPU,361.9,190.6,0,0,1,0,1,0,1,0
159,260000,TRABZON,ORTAHISAR,UGURLU,BAHCE,1000,MUSTAKIL PARSEL,7416.586781609196,13.0,0,1,0,1,0,0,1,0
162,900000,ADIYAMAN,BESNI,DOGANKAYA,BAHCE,1500,MUSTAKIL PARSEL,1500.0,3.0,0,1,0,1,0,0,1,0
163,190000,KIRKLARELI,LULEBURGAZ,DURAK,I_K,760,MUSTAKIL PARSEL,250.0,113.0,0,0,1,0,1,0,1,0
164,525000,ANKARA,GOLBASI,BALLIKPINAR,I_K,1543,MUSTAKIL PARSEL,298.0,5.0,0,0,1,0,1,0,1,0
166,925000,ISTANBUL,CATALCA,ATATURK,TARLA,5568,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
167,575000,ANKARA,GOLBASI,BALLIKPINAR,I_K,1500,MUSTAKIL PARSEL,384.0,8.0,0,0,1,0,1,0,1,0
168,45000,ANKARA,GOLBASI,IKIZCE,BAHCE,500,HISSELI TAPU,3848.1353333333336,297.949494949495,1,0,0,0,1,1,0,0
170,650000,SAMSUN,ILKADIM,KADAMUT,TARLA,1250,HISSELI TAPU,1365.4,142.4,1,0,0,0,1,0,1,0
172,160000,SINOP,MERKEZ,BOSTANCILI,I_K,290,MUSTAKIL PARSEL,434.63625,7.0,0,0,1,0,1,0,1,0
173,845000,DENIZLI,MERKEZEFENDI,SIRAKAPILAR,K_T,375,MUSTAKIL PARSEL,48.666666666666664,16.2,0,0,1,0,1,1,0,0
174,240000,ADANA,SEYHAN,AKKAPI,I_K,400,MUSTAKIL PARSEL,516.95,288.86206896551727,0,0,1,0,1,0,1,0
175,68000,ISTANBUL,SILIVRI,BALABAN,I_K,254,HISSELI TAPU,578.5,3.875,0,1,0,0,1,0,0,1
176,260000,ANTALYA,DOSEMEALTI,YENIKOY,I_K,468,MUSTAKIL PARSEL,516.95,6.0,0,1,0,1,0,0,1,0
177,350000,DENIZLI,CAMELI,AKPINAR,TARLA,1983,MUSTAKIL PARSEL,516.95,89.66666666666667,1,0,0,0,1,1,0,0
178,920000,KOCAELI,DILOVASI,TEPECIK,I_K,5700,BILINMIYOR,161.0,1.0,0,0,1,0,1,0,1,0
179,475000,IZMIR,KARABURUN,MORDOGAN,I_K,261,MUSTAKIL PARSEL,1150.0,476.0,0,0,1,0,1,1,0,0
180,97000,ANKARA,SINCAN,YENICIMSIT,TARLA,1043,HISSELI TAPU,516.95,42.0,0,1,0,0,1,0,0,1
181,465000,ANKARA,GOLBASI,INCEK,K_T,360,MUSTAKIL PARSEL,1.0,1.0,0,0,1,0,1,0,1,0
182,1600000,MUGLA,BODRUM,ISLAMHANELERI,BAHCE,3400,MUSTAKIL PARSEL,595.4444444444445,575.8571428571429,0,0,1,0,1,1,0,0
184,1400000,AYDIN,EFELER,ATA,OKUL,800,MUSTAKIL PARSEL,1688.0,487.57142857142856,0,1,0,0,1,0,1,0
185,260000,KOCAELI,KARAMURSEL,KARAAHMETLI,TARLA,1674,MUSTAKIL PARSEL,155.0,149.0,1,0,0,0,1,0,1,0
188,600000,BURDUR,TEFENNI,ZAFER,TARLA,7680,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
190,200000,KIRKLARELI,BABAESKI,KURTULUS,I_K,384,MUSTAKIL PARSEL,516.95,89.66666666666667,0,0,1,0,1,0,1,0
191,1050000,BALIKESIR,EDREMIT,CAMLIBEL,I_K,1213,KAT MULKIYETI,516.95,89.66666666666667,1,0,0,0,1,1,0,0
192,884000,GAZIANTEP,SAHINBEY,SARISALKIM,BAG,5200,MUSTAKIL PARSEL,170.0,25.0,0,0,1,0,1,1,0,0
