FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,TAPU_DURUMU,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI,TAKAS_BILINMIYOR,TAKAS_EVET,TAKAS_HAYIR,KAT_KARSILIGI_EVET,KAT_KARSILIGI_HAYIR,KREDIYE_UYGUNLUK_BILINMIYOR,KREDIYE_UYGUNLUK_UYGUN,KREDIYE_UYGUNLUK_UYGUN DEGIL
250000,BALIKESIR,EDREMIT,ALTINOLUK,112407-260,I_K,118,MUSTAKIL PARSEL,ALTINOLUK,2200.0,,,,0,0,1,0,1,0,1,0
3500000,YALOVA,TERMAL,YENIMAHALLE,80362-101,I_K,4747,MUSTAKIL PARSEL,TERMAL,,,,,0,0,1,0,1,0,0,1
2350000,MANISA,ALASEHIR,ISTASYON,112706-2270,BAG,18369,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
800000,ADIYAMAN,KAHTA,YELKOVAN,112111-304,TARLA,34200,,,,,,,0,0,0,0,1,0,0,0
1760000,ANKARA,GOLBASI,INCEK,86918-1615,I_K,1529,MUSTAKIL PARSEL,,,111202.0,14.0,,0,0,1,0,1,0,1,0
69900,KIRSEHIR,CICEKDAGI,FEVZI CAKMAK,120553-17,I_K,561,,,,,,,0,0,0,0,1,0,0,0
2000000,IZMIR,BORNOVA,ATATURK,102123-133,I_K,356,MUSTAKIL PARSEL,BORNOVADA,,,,3000.0,0,0,1,0,1,0,1,0
380000,CANAKKALE,AYVACIK,KOSEDERE,1030-2960,TARLA,22100,MUSTAKIL PARSEL,AYVACIK,17.0,,,,0,1,0,0,1,0,0,0
215000,ANKARA,KAHRAMANKAZAN,KAYI,111560-124,I_K,495,,,,,,,0,0,0,0,1,0,0,0
180000,CORUM,MERKEZ,ESKIEKIN,74301-2596,BAG,1842,HISSELI TAPU,CORUM,,173.0,9.0,,0,0,1,0,1,0,1,0
11500000,SAKARYA,SAPANCA,UZUNKUM,85563-895,I_K,51000,MUSTAKIL PARSEL,SAPANCA,,1.0,1.0,,0,0,1,0,1,0,1,0
135000,SIVAS,MERKEZ,KARSIYAKA,35938-438,I_K,318,MUSTAKIL PARSEL,,,1107.0,8.0,,0,1,0,0,1,0,1,0
205000,ANKARA,GOLBASI,GOKCEHUYUK,0-36122572,BAHCE,500,HISSELI TAPU,GOLBASI,,,,,0,1,0,0,1,1,0,0
240000,ANTALYA,KEPEZ,ODABASI,42658-1219,I_K,375,MUSTAKIL PARSEL,KEPEZ,,131.0,8.0,,0,1,0,0,1,0,1,0
600000,BALIKESIR,GOMEC,KARAAGAC,51689-243,ZEYTINLIK,23900,MUSTAKIL PARSEL,GOMEC,1.0,1.0,1.0,5000.0,0,1,0,0,1,0,1,0
75000,KONYA,MERAM,SADIKLAR,93206-329,TARLA,16650,MUSTAKIL PARSEL,MERAM,3.0,109.0,2.0,,0,0,1,0,1,0,1,0
1400000,KONYA,MERAM,DURUNDAY,57158-1956,I_K,2538,,MERAM,,,,,0,0,0,0,1,0,0,0
3200000,IZMIR,TORBALI,DAGKIZILCA,66154-1391,ZEYTINLIK,22000,MUSTAKIL PARSEL,TORBALI,145454.0,,,,0,0,1,0,1,0,0,1
78500,ISTANBUL,SILIVRI,ISMETPASA,114426-23,TARLA,764,HISSELI TAPU,SILIVRI,,,5450.0,,0,0,1,0,1,0,0,1
600000,MUGLA,DALAMAN,SEREFLER,34925-4788,I_K,403,MUSTAKIL PARSEL,DALAMAN,,,,,0,0,1,0,1,0,1,0
240000,MANISA,SARUHANLI,PINARBASI,87609-1555,ZEYTINLIK,15000,ZILLIYET,SARUHANLI,,0.0,0.0,,0,1,0,0,1,0,1,0
350000,MALATYA,BATTALGAZI,ORDUZU,110592-127,M_A,2524,MUSTAKIL PARSEL,BATTALGAZI,,504.0,,,0,1,0,0,1,1,0,0
300000,TOKAT,TURHAL,NECIP,89928-266,TARLA,3031,MUSTAKIL PARSEL,,,,,,0,1,0,0,1,0,0,0
1000,KIRKLARELI,MERKEZ,KARAHIDIR,692311-258,I_K,1961,,,,,,,0,0,0,1,0,0,0,0
445000,KOCAELI,BASISKELE,FATIH,0-36088506,I_K,570,MUSTAKIL PARSEL,BASISKELE,,535.0,8.0,,0,0,1,0,1,0,1,0
650000,MANISA,SEHZADELER,YUKARICOBANISA,22228-6218,I_K,2900,MUSTAKIL PARSEL,0,,0.0,0.0,,0,0,1,0,1,0,1,0
4000000,MERSIN(ICEL),MEZITLI,TECE,21929-1262,I_T,1400,MUSTAKIL PARSEL,MEZITLI,,,,,0,0,1,0,1,0,1,0
320000,ANTALYA,AKSU,YURTPINAR,692392-480,I_K,950,,AKSU,,,,,0,1,0,1,0,0,1,0
240000,BALIKESIR,EDREMIT,ZEYTINLI,111751-867,ZEYTINLIK,1290,MUSTAKIL PARSEL,EDREMIT,1.0,1.0,1.0,1000.0,0,0,1,0,1,0,1,0
1300000,BALIKESIR,BURHANIYE,PELITKOY,70772-161,CIFTLIK,6650,,,,,,,0,0,0,0,1,0,0,0
250000,MUGLA,YATAGAN,SEREF,92216-763,TARLA,12305,MUSTAKIL PARSEL,YATAGAN,,,1727.0,,0,0,1,0,1,1,0,0
600000,ANKARA,GOLBASI,BAHCELIEVLER,13362-227,I_K,752,MUSTAKIL PARSEL,GOLBASI,,750.0,8.0,,0,0,1,0,1,0,1,0
5500000,IZMIR,KEMALPASA,CINILIKOY,74075-466,I_K,11100,MUSTAKIL PARSEL,,,,,,0,0,1,0,1,0,1,0
1525000,BALIKESIR,EDREMIT,GURE,110461-181,I_K,2486,MUSTAKIL PARSEL,EDREMIT,,677.0,6.0,,0,1,0,0,1,0,1,0
4500000,ISTANBUL,SILIVRI,FEVZIPASA,2548-84,I_S,3750,MUSTAKIL PARSEL,SILIVRI,,,,,0,0,0,0,1,0,0,1
185000,IZMIR,MENEMEN,GOKTEPE,29927-1594,I_K,310,,,,,,,0,0,0,0,1,0,0,0
230000,SAKARYA,GEYVE,CAMLIK,120357-6,BAG,4141,MUSTAKIL PARSEL,GEYVE,2.0,,262.0,,0,0,1,0,1,0,1,0
350000,IZMIR,ALIAGA,B. HAYRETTIN PASA,23889-429,TARLA,3480,MUSTAKIL PARSEL,ALIAGA,10.0,1.0,1818.0,2000.0,0,0,1,0,1,1,0,0
630000,SAKARYA,KARASU,YALI,77640-163,I_S,630,,,,,,,0,0,0,0,1,0,0,0
115000,HATAY,KIRIKHAN,GAZI,116288-78,I_K,303,,,,,,,0,0,0,0,1,0,0,0
490000,CANAKKALE,GELIBOLU,BAYIRKOY,115456-18,TARLA,7390,,,,,,,0,0,0,0,1,0,0,0
