FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
115000,ESKISEHIR,SARICAKAYA,KAPIKAYA,89238-1181,BAHCE,3100,UYGUN,MUSTAKIL PARSEL,,HAYIR,,,,,
1150000,ISTANBUL,ARNAVUTKOY,SAZLIBOSNA,37082-9215,TARLA,2350,UYGUN DEGIL,,,HAYIR,ARNAVUTKOY,,,,
500000,DUZCE,MERKEZ,SIRALIK,57593-1724,I_K,1000,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,DUZCE,500,,931,
3500000,MUGLA,MENTESE,GULAGZI,119487-26,I_K,5969,,,,EVET,,,,,
55000,ANKARA,POLATLI,HACITUGRUL,14976-2011,M_A,1500,UYGUN,,,HAYIR,POLATLI,,,,
130000,MUGLA,YATAGAN,KAVAK,692350-49,ZEYTINLIK,11000,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,YATAGAN,,,,
80000000,ISTANBUL,ARNAVUTKOY,ARNAVUTKOY MERKEZ,84703-203,K_T,13500,UYGUN,MUSTAKIL PARSEL,EVET,HAYIR,ARNAVUTKOY,6000,,,
6000000,MUGLA,BODRUM,TORBA,25898-2324,I_K,4300,UYGUN,,,HAYIR,BODRUM,,,,
2700000,MUGLA,MILAS,KURUDERE,26998-1913,ZEYTINLIK,29587,,,,HAYIR,,,,,
230000,MUGLA,YATAGAN,HACIBAYRAMLAR,107817-111,TARLA,20000,,,,HAYIR,,,,,
245000,TEKIRDAG,ERGENE,MARMARACIK,64979-60,I_K,548,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,ERGENE,447,,,
112500,ISTANBUL,CATALCA,DAGYENICE,8088-1669,M_A,250,UYGUN DEGIL,MUSTAKIL PARSEL,HAYIR,HAYIR,CATALCA,,,,
90000,DENIZLI,BABADAG,MOLLAAHMET,119283-66,TARLA,2300,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,BABADAG,1,1,1,
6300000,TEKIRDAG,KAPAKLI,KARAAGAC OSB,3568-5539,I_S,5300,,,,HAYIR,,,,,
20000,IZMIR,KARSIYAKA,ORNEKKOY,25424-2737,K_T,1000,,,,EVET,,,,,
8350000,IZMIR,URLA,YENICE,0-32844295,TARLA,10450,UYGUN DEGIL,,HAYIR,HAYIR,URLA,800,3472,1,
25000000,KOCAELI,KARTEPE,SARIMESE,58016-4896,D_A_I,6500,UYGUN,MUSTAKIL PARSEL,,EVET,,6500,,,
560000,ANTALYA,KORKUTELI,KEMERAGZI,118442-150,TARLA,22000,,,,HAYIR,,,,,
425000,ISTANBUL,SARIYER,TARABYA,1994-1739,TARLA,216,UYGUN DEGIL,HISSELI TAPU,HAYIR,HAYIR,SARIYER,1,1,1,1.0
65000,KARAMAN,MERKEZ,BEYAZKENT,117096-17,I_K,299,,,,HAYIR,,,,,
1220000,IZMIR,MENEMEN,9 EYLUL,108805-592,I_K,391,,,,HAYIR,,,,,
306000,MANISA,SEHZADELER,AHMET BEDEVI,34970-1842,I_K,322,BILINMIYOR,MUSTAKIL PARSEL,HAYIR,HAYIR,,,,,
1200000,MUGLA,FETHIYE,INLICE,46177-219,BAHCE,7100,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,FETHIYE,,,,
260000,IZMIR,ALIAGA,GUZELHISAR,101854-186,TARLA,5500,,,,HAYIR,ALIAGA,,,,
2000000,ANKARA,SINCAN,ALCI,46578-361,TARLA,16200,,MUSTAKIL PARSEL,,HAYIR,SINCAN,123,533,84,
1400,ESKISEHIR,TEPEBASI,ASAGIKARTAL,65789-1659,TARLA,1400,,,,HAYIR,,,,354,
1400000,BALIKESIR,GOMEC,YAYA,79781-1033,I_K,2182,UYGUN,,EVET,EVET,,,,,
830000,TEKIRDAG,HAYRABOLU,EMIRYAKUP,81275-683,TARLA,55600,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,HAYRABOLU,15,,,
40000,KIRKLARELI,BABAESKI,YENIMAHALLE,46776-1057,TARLA,3500,,,,HAYIR,,,,,
850000,MANISA,SARUHANLI,GOZLET,22228-5947,BAHCE,57500,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,0,,0,0,
360000,KOCAELI,KARAMURSEL,4 TEMMUZ,35076-2225,I_K,446,UYGUN,MUSTAKIL PARSEL,HAYIR,EVET,KARAMURSEL,,,,
360000,KONYA,SELCUKLU,SIZMA,73649-560,TARLA,8300,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,SELCUKLU,43,0,0,
45000000,ANTALYA,AKSU,BOZTEPE,9695-4822,TARLA,120000,,MUSTAKIL PARSEL,,HAYIR,AKSU,,,,
3300000,ANKARA,GOLBASI,TEPEYURT,111314-55,TARLA,34000,UYGUN,,,HAYIR,GOLBASI,97,,,
900000,MUGLA,MARMARIS,TASLICA,110811-45,ZEYTINLIK,4863,UYGUN,MUSTAKIL PARSEL,HAYIR,HAYIR,MARMARIS,,321,1,50000.0
