FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
40000,KırklarelI,BabaeskI,YenImahalle,46776-1057,Tarla,3500,,,,Hayır,,,,,
850000,ManIsa,Saruhanlı,Gozlet,22228-5947,Bahce,57500,Uygun,MustakIl Parsel,Hayır,Hayır,0,,0,0,
360000,KocaelI,Karamursel,4 Temmuz,35076-2225,Imarlı - Konut,446,Uygun,MustakIl Parsel,Hayır,Evet,KARAMuRSEL,,,,
360000,Konya,Selcuklu,Sızma,73649-560,Tarla,8300,Uygun,MustakIl Parsel,Hayır,Hayır,SELcUKLU,43,0,0,
45000000,Antalya,Aksu,Boztepe,9695-4822,Tarla,120000,,MustakIl Parsel,,Hayır,aksu,,,,
3300000,Ankara,Golbası,Tepeyurt,111314-55,Tarla,34000,Uygun,,,Hayır,golbası,97,,,
900000,Mugla,MarmarIs,Taslıca,110811-45,ZeytInlIk,4863,Uygun,MustakIl Parsel,Hayır,Hayır,MARMARIS,,321,1,50000
1550000,KocaelI,Darıca,CamI,14975-477,Imarlı - Konut,462,Uygun,MustakIl Parsel,Hayır,Hayır,DARICA,3354,0,0,
1000,KocaelI,BasIskele,YenIkoy Merkez,110684-4,Imarlı - Konut,3000,Uygun,MustakIl Parsel,,Evet,BasIskele,,0,3685,
500000,MersIn(Icel),SIlIfke,Atakent,5011-2813,Imarlı - Konut,484,Uygun,MustakIl Parsel,Hayır,Hayır,SILIFKE,,,,
180000,Ankara,Mamak,uregIl,114465-326,Imarlı - Konut,410,BIlInmIyor,HIsselI Tapu,Hayır,Hayır,MAMAK,,,,
770000,Hatay,Samandag,Cemal Gursel,8584-1907,Bahce,667,Uygun,MustakIl Parsel,Hayır,Hayır,SAMANDAg,,112,5,
980000,TekIrdag,Suleymanpasa,SeymenlI,80704-1642,Tarla,28043,,MustakIl Parsel,Hayır,Hayır,,,,,
360000,Konya,cumra,AlIbeyhuyugu,84259-125,Tarla,45000,Uygun,MustakIl Parsel,Hayır,Hayır,cUMRA,,674,4,
3750,DenIzlI,BekIllI,YesIloba,692136-25,Tarla,10000000,Uygun,,Hayır,Hayır,BekIllI,3500,,,
635000,Istanbul,Buyukcekmece,KamIloba,13649-3959,MuhtelIf Arsa,3750,,BIlInmIyor,,Hayır,,,,,
44000,K.K.T.C.,GIrne,Esentepe,98119-487,Imarlı - Konut,612,,,,Evet,,,,,
210000,TekIrdag,Suleymanpasa,Barbaros,19579-1703,Imarlı - Konut,534,Uygun,MustakIl Parsel,Hayır,Hayır,SuLEYMANPAsA,350,,,
1700000,Istanbul,AtasehIr,Ferhatpasa,113802-225,Imarlı - Konut,567,Uygun,MustakIl Parsel,Hayır,Hayır,AtasehIr,2980,,,
550000,BalıkesIr,Ayvalık,Kucukkoy,42916-1545,ZeytInlIk,12200,Uygun,MustakIl Parsel,Hayır,Hayır,ayvalık,,,,
314000,Ankara,KecIoren,Baglum Guzelyurt,6914-1055,Imarlı - Konut,550,Uygun,HIsselI Tapu,Evet,Hayır,KEcIoREN,460,91959,2,
575000,MersIn(Icel),YenIsehIr,Batıkent,119352-14,Imarlı - Konut,656,Uygun,BIlInmIyor,Hayır,Hayır,YENIsEHIR,850,,,10000000
570000,Mugla,MarmarIs,Turgut,80481-508,Tarla,553,,,,Hayır,marmarIs,,,,
350000,Antalya,Alanya,Kargıcak,114402-70,Imarlı - Konut,501,,,,Hayır,,,,,
440000,GIresun,TIrebolu,Duzkoy,119638-25,Bahce,1000,Uygun,MustakIl Parsel,Evet,Evet,,430,,,
1750000,Mugla,MIlas,Kuzyaka,118456-69,cIftlIk,49000,,,,Evet,,,,,
1975000,Ankara,Kahramankazan,ImrendI,4469-1027,Imarlı - Konut,7650,Uygun,MustakIl Parsel,Evet,Hayır,Kahramankazan,,,,
131000,KayserI,KocasInan,Barsama,112156-134,MuhtelIf Arsa,1223,Uygun,MustakIl Parsel,Hayır,Hayır,,107,220,8,
495000,BalıkesIr,Ayvalık,Kazım KarabekIr,35576-2036,ZeytInlIk,7200,,MustakIl Parsel,,Hayır,AYVALIK,,,,
29000000,IzmIr,Menemen,MermerlI,21024-9346,Tarla,49349,,Kat MulkIyetI,,Hayır,,,,,
1490000,IzmIr,GazIemIr,Zafer,91622-3200,Tarla,3472,,,,Hayır,,,,,
8800000,Istanbul,SIlIvrI,HurrIyet,91887-2027,Tarla,24000,Uygun,MustakIl Parsel,Hayır,Hayır,SILIVRI,400,1,1,
4100000,KırklarelI,BabaeskI,DIndogru,46776-803,Imarlı - SanayI,20000,,,,Hayır,,,,,
185000,KırklarelI,BabaeskI,DIndogru,46776-777,Imarlı - Konut,270,,,,Hayır,,,,,
650000,Ankara,SIncan,Beyobası,48228-1828,Tarla,18589,,MustakIl Parsel,Evet,Hayır,SINCAN,,,,
1250000,Ankara,cankaya,cayyolu,4333-1567,Imarlı - Konut,500,Uygun,MustakIl Parsel,Hayır,Hayır,,2500,444,10,
2250000,canakkale,LapsekI,Kangırlı,68084-1410,Imarlı - Konut,5000,Uygun,MustakIl Parsel,Hayır,Hayır,LAPSEKI,,,,
61000,Ankara,Mamak,Yukarı Imrohor,98033-517,Imarlı - Konut,220,Uygun,HIsselI Tapu,Evet,Evet,Mamak BeledIyesI,277,52064,1,
650000,Samsun,Terme,HuseyInmescIt,116358-50,Bahce,14400,Uygun,MustakIl Parsel,Hayır,Hayır,TERME,38,,,
2400000,canakkale,LapsekI,Umurbey (Umurbey),48534-1593,Bahce,40000,,MustakIl Parsel,,Hayır,,,,,
12000000,MersIn(Icel),YenIsehIr,LImonluk,117846-191,Imarlı - Konut,2572,Uygun,BIlInmIyor,Hayır,Hayır,YENIsEHIR,4500,,,10000000
80000,Bursa,OrhangazI,YenIkoy,90588-23,Imarlı - Konut,268,,,,Hayır,,,,,
1500000,DenIzlI,MerkezefendI,Gerzele,73618-10045,Imarlı - Konut,945,Uygun,MustakIl Parsel,Hayır,Hayır,merkezefendI,,,,
80000,Konya,Selcuklu,HocacIhan,112660-188,Imarlı - Konut,193,Uygun degIl,HIsselI Tapu,Evet,Hayır,SELcUKLU,,20125,5,
7800000,Istanbul,uskudar,BurhanIye,0-10206979,Konut+TIcaret,830,Uygun,HIsselI Tapu,Hayır,Hayır,uskudar,,738,5,
825000,GazIantep,sahInbey,Sarısalkım,0-35846929,Tarla,3100,Uygun,MustakIl Parsel,Evet,Hayır,,,106,19,
1200000,IzmIr,DIkIlI,DenIzkoy,31875-1649,Tarla,13176,Uygun,MustakIl Parsel,Hayır,Hayır,DIKILI,,0,0,
185000,KocaelI,Gebze,Duraklı,116101-26,Tarla,1310,,,,Hayır,,,,,
759000,Antalya,Elmalı,Tavullar,99744-402,Tarla,25300,Uygun,MustakIl Parsel,Hayır,Hayır,ELMALI ANTLYA,,,,
2250000,IzmIr,Torbalı,Pancar,54684-2230,Tarla,17400,Uygun degIl,MustakIl Parsel,Hayır,Hayır,,,0,1369,
4500000,Bursa,NIlufer,Kayapa,77045-1559,Imarlı - Konut,3000,Uygun,MustakIl Parsel,Hayır,Hayır,,,,,
1900000,canakkale,LapsekI,Suluca,78920-447,Tarla,7463,,MustakIl Parsel,Hayır,Hayır,LAPSEKI,250,142,37,
550000,Antalya,SerIk,candır,90367-598,Tarla,10000,,,,Hayır,,,,,
2500000,KocaelI,Karamursel,Yalakdere,113162-95,ozel Kullanım,50601,Uygun,MustakIl Parsel,Hayır,Hayır,KARAMuRSEL BELEDIYE,49,146,12,5000
70000,BalıkesIr,Bandırma,EdIncIk,45396-1284,ZeytInlIk,1901,,,,Hayır,Bandırma,,,,
66000,Ankara,cankaya,YesIlkent,16177-1016,Tarla,300,BIlInmIyor,HIsselI Tapu,Hayır,Hayır,cANKAYA,220,,,
53000,Burdur,Aglasun,HIsar,112157-69,Tarla,10614,,,,Hayır,,,,,
50000,Ankara,cankaya,Yakupabdal,41594-1137,Bahce,540,,,,Hayır,,,,,
110000,Ankara,Golbası,IkIzce,6462-1423,Tarla,1000,,,,Hayır,,,,,
450000,Mugla,Bodrum,YenIkoy Karaova,8697-1415,ZeytInlIk,7850,BIlInmIyor,MustakIl Parsel,,Hayır,Bodrum,50,,,
37500,Ankara,Mamak,Yukarı Imrohor,98033-515,Imarlı - Konut,300,Uygun,HIsselI Tapu,Evet,Evet,Mamamk BeledIyesI,125,52050,1,
5400000,Ankara,Golbası,DIkIlItas,119654-5,Tarla,91000,,,,Hayır,,,,,
121000,Hatay,Altınozu,Yunushanı,109496-310,ZeytInlIk,5002,Uygun,MustakIl Parsel,,Hayır,ALTINoZu,25000,270,77,
465000,Ankara,Altındag,Kavaklı,43944-1605,Bahce,1255,Uygun,HIsselI Tapu,Evet,Hayır,ALTINDAg,1255,116,41,
75000,Burdur,Aglasun,Mamak,112157-71,Tarla,20320,,,,Hayır,,,,,
5500000,DenIzlI,Pamukkale,Topraklık,73618-10050,Imarlı - TIcarI,495,Uygun,MustakIl Parsel,Evet,Evet,PAMUKKALE,,,,
450000,Konya,Selcuklu,Esenler,68737-303,Imarlı - Konut,432,BIlInmIyor,MustakIl Parsel,Hayır,Hayır,SELcUKLU,,,,
265000,Ankara,Pursaklar,SIrkelI YesIlyurt,68297-1757,Imarlı - Konut,1150,Uygun,MustakIl Parsel,,Hayır,PURSAKLAR,,,,
220000,BalıkesIr,Susurluk,Gobel,0-35950717,Bahce,2947,,,,Hayır,,,,,
750000,Mugla,Bodrum,TurgutreIs,10886-3110,Tarla,4070,,MustakIl Parsel,Hayır,Hayır,"Mugla.Bodrum,",250,,,
