FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYATI,ADA,PARSEL,KIRA_GETIRISI
351000,Istanbul,SIlIvrI,Fener,49381-312,Tarla,1800,,MUstakIl Parsel,Hayır,Hayır,sIlIvrI,195,,2398,
4850000,Istanbul,Beykoz,Yavuz SelIm,79202-408,MuhtelIf Arsa,3300,,MUstakIl Parsel,Hayır,Hayır,BEYKOZ,1.8,1725,10,
1500000,Canakkale,Ayvacık,Balabanlı,38703-810,Imarlı - Konut,9277,Uygun,MUstakIl Parsel,Hayır,Hayır,,,,,
3200000,Ankara,GOlbaSı,Incek,14074-1087,Imarlı - Konut,3616,,HIsselI Tapu,,Hayır,CANKAYA,885,29943,2,
500000,Ordu,Unye,GOlevI,108989-16,Imarlı - Konut,463,Uygun,MUstakIl Parsel,,Hayır,UNYE,,,,
280000,MuGla,MenteSe,Bayır,110093-220,Tarla,6000,,,,Hayır,,,,,
75000,Ankara,GOlbaSı,DIkIlItaS,84401-750,BahCe,507,,,,Hayır,,,,,
320000,TekIrdaG,Ergene,Vakıflar,89034-168,Imarlı - Konut,400,Uygun,HIsselI Tapu,Hayır,Evet,Vakıflar,,122,8,
1500000,Kırıkkale,CelebI,Karahacılı,17197-1751,BahCe,18000,,MUstakIl Parsel,,Hayır,,,,,
1500000,Karaman,Merkez,BahCelIevler,88819-23,Tarla,10000,,,,Hayır,,,,,
465000,MuGla,MIlas,AvSar,78870-1091,Tarla,20000,Uygun,MUstakIl Parsel,Hayır,Hayır,MIlas,23,,,
150000,Ankara,GOlbaSı,Topaklı,5697-989,BahCe,1000,Uygun deGIl,TahsIs,Evet,Hayır,GOLBASI,120000,115364,207,
585000,IzmIr,KemalpaSa,ASaGıkızılca,120739-24,BahCe,3500,Uygun,MUstakIl Parsel,Hayır,Hayır,KEMALPASA,,,,
150000,MersIn(ICel),SIlIfke,Karakaya,97522-145,BahCe,5500,Uygun,MUstakIl Parsel,Hayır,Hayır,sIlIfke,,0,1037,
300000,Ankara,Akyurt,BUGdUz,68764-943,Imarlı - SanayI,1200,Uygun,HIsselI Tapu,Hayır,Hayır,Akyurt,250,,,
400000,MersIn(ICel),SIlIfke,GOksu,39623-1639,Imarlı - Konut,293,,,,Evet,,,,,
225000,KarabUk,Safranbolu,Karıt,14442-33,Imarlı - Konut,1600,Uygun,MUstakIl Parsel,,Hayır,,,,,
335000,BalıkesIr,BurhanIye,SarkOy,119173-70,ZeytInlIk,16840,,,,Hayır,,,,,
6500000,Istanbul,Beykoz,RIva,36217-326,Imarlı - Konut,2600,,MUstakIl Parsel,Hayır,Hayır,BEYKOZ,,,678,
275000,Antalya,Kepez,OdabaSı,118389-55,Imarlı - Konut,400,BIlInmIyor,MUstakIl Parsel,Hayır,Hayır,KEPEZ,,,,
70000,DenIzlI,Baklan,GUrlUk,111300-173,Tarla,3845,Uygun,MUstakIl Parsel,Hayır,Hayır,BAKLAN,175,0,8729,
2000000,Aydın,Efeler,KızılcakOy,40601-551,Tarla,9880,,MUstakIl Parsel,Hayır,Hayır,,,,,
130000,BalıkesIr,KaresI,Yaylabayır,100370-496,Tarla,13000,,,,Evet,,,,,
1110000,IzmIr,Narlıdere,AtatUrk,55995-1488,Imarlı - Konut,210,,MUstakIl Parsel,Hayır,Hayır,,,,,
1750000,Samsun,Atakum,Alanlı,119222-32,MuhtelIf Arsa,950,BIlInmIyor,MUstakIl Parsel,Hayır,Hayır,ATAKUM,2000,,,
44000,IzmIr,Bayındır,Karahayıt,107094-114,BahCe,200,,,,Hayır,,,,,
325000,Antalya,Manavgat,BucakSeyhler,96075-330,Tarla,2430,,,,Hayır,,,,,
205000,Ankara,Mamak,UreGIl,34887-362,Imarlı - Konut,400,,,,Hayır,MAMAK,500,51294,5,
360000,Sakarya,Akyazı,Yahyalı,98237-468,Imarlı - Konut,2160,Uygun deGIl,MUstakIl Parsel,,Hayır,Akyazı,,,,
300000,DUzce,Merkez,Yaka,105478-266,Imarlı - Konut,2950,,,Hayır,Evet,,,,327,
280000,Bursa,Mudanya,SOGUtpınar,73952-182,Tarla,2439,Uygun,,,Hayır,MUDANYA,115,,,
60000,TekIrdaG,Saray,Kavacık,120462-8,Tarla,510,,,,Evet,,,,,
299000,Isparta,Merkez,BozanOnU,118477-116,BahCe,3310,,,,Hayır,,,,,
700000,Ankara,Cankaya,Beytepe,4018-3890,Imarlı - Konut,400,Uygun,MUstakIl Parsel,Hayır,Hayır,CANKAYA,,,,
1500000,Canakkale,Merkez,SalIhler,1421-487,Imarlı - Konut,15000,,,,Hayır,,,,,
